Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
verklap;"iets vertellen wat eigenlijk geheim moet blijven; verklappen-verklapte-verklapt";verklap;iets vertellen wat eigenlijk geheim moet blijven;起;告诉你一些事情,
discussiëren;"met argumenten bespreken; discussiëren-discussieerde-gediscussieerd";discussiëren;met argumenten bespreken;讨论;讨论论点
verbazen;"het zal je verbazen = je zult wel verbaasd zijn. Dat verbaast me; verbazen-";verbazen;"het zal je verbazen = je zult wel verbaasd zijn. Dat verbaast me; verbazen-";惊;你会感到惊.
cijfers;getallen;cijfers;getallen;数字;其他类型
taalkundige;linguïst, expert op het gebied van talen;taalkundige;linguïst, expert op het gebied van talen;语言学;语言学家,语言专家
beschrijving (de);"een verhaal vertellen over iets of iemand of over een gebeurtenis; beschrijvingen";beschrijving;"een verhaal vertellen over iets of iemand of over een gebeurtenis; beschrijvingen";描述;"讲述一个关于某事,某人或事件的故事;描述"
grafiek (de);"figuur uit de statistiek met lijnen om cijfers beter te kunnen begrijpen; grafieken";grafiek;"figuur uit de statistiek met lijnen om cijfers beter te kunnen begrijpen; grafieken";图表;图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表,图表
begrijpelijk;goed te begrijpen;begrijpelijk;goed te begrijpen;很明确;了解
daarover;over dat onderwerp;daarover;over dat onderwerp;关于此;关于这个问题
quitte;"quitte staan: gelijk staan; evenveel punten of evenveel hebben";quitte;"quitte staan: gelijk staan; evenveel punten of evenveel hebben";除;"立即:立即;等等点或等点"
buurlanden;"de buren van een land; Duitsland en België zijn de buurlanden van Nederland;";buurlanden;"de buren van een land; Duitsland en België zijn de buurlanden van Nederland;";邻国;"德国和比利时是荷兰的邻国;"
vanouds;sinds lang geleden;vanouds;sinds lang geleden;过去的;很久以前
weggeeft;"hier: uitleent, de ene taal neemt woorden uit de andere taal over; weggeven-gaf";weggeeft;"hier: uitleent, de ene taal neemt woorden uit de andere taal over; weggeven-gaf";给出;"在这里:借用,一种语言接收了另一种语言的词语;"
aanbieding;iets in de aanbieding hebben = iets goeds of waardevols wat je weg wilt geven;aanbieding;iets in de aanbieding hebben = iets goeds of waardevols wat je weg wilt geven;报价;提供的东西 = 想要捐赠的好东西或有价值的东西
emigreerden;"verhuisden naar een ander land; emigreren-emigreerde-geëmigreerd";emigreerden;verhuisden naar een ander land;移民;搬到另一个国家
verhuisden;"van vaste plaats veranderen; verhuizen-verhuisde-verhuisd";verhuisden;van vaste plaats veranderen;搬迁;变更永久性
schets (de);"tekening of ontwerp in grote lijnen; de schetsen";schets;"tekening of ontwerp in grote lijnen; de schetsen";图表;"图纸或设计,大线;图纸"
schaats (de);"schoen met ijzer eronder; om mee over het ijs te bewegen; schaatsen";schaats;"schoen met ijzer eronder; om mee over het ijs te bewegen; schaatsen";滑冰;鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子,鞋子
duin (het);"heuvel van zand aan de zeekust; duinen";duin;"heuvel van zand aan de zeekust; duinen";鱼;"海岸沙丘;海"
schipper (de);"de persoon die een schip bestuurt; schippers";schipper;"de persoon die een schip bestuurt; schippers";航母;"船舶管理人员;船员"
enz.;korte vorm van: enzovoort/et cetera;enz.;korte vorm van: enzovoort/et cetera;其他类型;简体的形式:等等等
middeleeuwen (de);periode tussen de jaren 500 en 1500;middeleeuwen;periode tussen de jaren 500 en 1500;中世纪;五百年至1500年间
stukken;stukken slechter: veel slechter;stukken;stukken slechter: veel slechter;零件;更多的东西更糟糕,更糟糕.
geringe;weinig, klein, niet veel. Niet gering = heel veel;geringe;weinig, klein, niet veel. Niet gering = heel veel;低;很少,很少,没有很多.
Dutch;Engels: Nederlandse;Dutch;Engels: Nederlandse;荷兰语;英语:荷兰语
to go Dutch;Engels: ieder betaalt voor zichzelf;to go Dutch;Engels: ieder betaalt voor zichzelf;荷兰人;美国:每个人自己付钱
Dutch courage;Engels: alleen iets durven doen als je alcohol gedronken hebt;Dutch courage;Engels: alleen iets durven doen als je alcohol gedronken hebt;荷兰勇气;只有喝酒才会有勇气做任何事情
netto;het uiteindelijke aantal;netto;het uiteindelijke aantal;净值;最终数量
Hanze (de);naam van het samenwerkingsverband uit de twaalfde eeuw;Hanze;naam van het samenwerkingsverband uit de twaalfde eeuw;子;12世纪的合作社名称
samenwerking (de);met elkaar aan dezelfde taak werken;samenwerking;met elkaar aan dezelfde taak werken;合作;共同工作
verrassend veel;(veel) meer dan je verwacht;verrassend veel;(veel) meer dan je verwacht;惊人的很多;超过你想象的
Scandinavische;uit Scandinavië (Noorwegen, Zweden, Finland, Denemarken);Scandinavische;uit Scandinavië (Noorwegen, Zweden, Finland, Denemarken);斯堪的纳维亚;来自斯堪的纳维亚 (挪威,瑞典,芬兰,丹麦)
beland;"terechtgekomen; belanden-belandde-is beland";beland;terechtgekomen;终于;已经到达
dateert (uit);"uit een bepaalde tijd komen; dateren-dateerde-gedateerd";dateert (uit);uit een bepaalde tijd komen;已有;他们是从某个时候来的.
koopmanssteden;"handelssteden; de koopmansstad";koopmanssteden;"handelssteden; de koopmansstad";商城;"商城;商城"
stipjes;"kleine rondjes of puntjes; het stipje";stipjes;"kleine rondjes of puntjes; het stipje";点点;"子或子;点"
beheerste;"de controle hebben over; beheersen-beheerste-beheerst";beheerste;de controle hebben over;控制;控制
handelden;"geld verdienen door te kopen en te verkopen; handelen-handelde-gehandeld";handelden;geld verdienen door te kopen en te verkopen;交易;通过买卖来钱
huiden;"skin/peau/Haut/ciltler; de huid";huiden;"skin/peau/Haut/ciltler; de huid";皮肤;"皮肤/皮肤/皮肤;皮肤"
verwant (zijn);familie zijn. Een verwant(e) is een familielid;verwant (zijn);familie zijn. Een verwant(e) is een familielid;亲属 (是);亲属.亲属 () 是亲属
vaklui;"mensen die een vak beheersen; de vakman";vaklui;"mensen die een vak beheersen; de vakman";工人;"掌握一个职业的人;"
grachtenhuizen;"huizen met een speciale vorm aan een gracht; het grachtenhuis";grachtenhuizen;"huizen met een speciale vorm aan een gracht; het grachtenhuis";道房屋;"道上特殊形状的房屋;道屋"
wiskundige termen;termen/namen uit de wiskunde (mathematics/Mathematik/mathématiques/;wiskundige termen;termen/namen uit de wiskunde (mathematics/Mathematik/mathématiques/;数学术语;数学/数学/数学/数学的术语/名称
vierkant (het);"square/Quadrat/carré/kare; vierkanten";vierkant;"square/Quadrat/carré/kare; vierkanten";方形;"平方/平方/平方/平方;"
driehoek (de);"triangle/Dreieck/triangle/üçgen; driehoeken";driehoek;"triangle/Dreieck/triangle/üçgen; driehoeken";角形;"/////;三角形"
kolonisten;bewoners van een kolonie, of mensen die in een ander land een kolonie;kolonisten;bewoners van een kolonie, of mensen die in een ander land een kolonie;殖民者;殖民地居民,或是在另一个国家的殖民地居民
landde;"kwam aan land, kwam aan (vanuit een schip of vliegtuig); landen-landde-geland";landde;kwam aan land, kwam aan (vanuit een schip of vliegtuig);登陆;抵达 (从船或飞机)
halverwege;in het midden van, op de helft van;halverwege;in het midden van, op de helft van;半路;在中部,在半部
afstammelingen;"Nederlandse afstammelingen: de (klein)kinderen van Nederlanders; de";afstammelingen;"Nederlandse afstammelingen: de (klein)kinderen van Nederlanders; de";后裔;"荷兰后裔:荷兰人 (小) 的孩子;"
ingeruild;"iets geven om iets anders te krijgen; inruilen-inruilde-ingeruild";ingeruild;iets geven om iets anders te krijgen;换成;给出东西,得到别的东西
emigranten;"mensen die verhuizen naar een ander land; de emigrant";emigranten;"mensen die verhuizen naar een ander land; de emigrant";移民;移民者,移民者,移民者
koekje (het);"cookie/Platzschen/gateau/kurabiye; koekjes";koekje;"cookie/Platzschen/gateau/kurabiye; koekjes";饼;"饼/Platzschen/gateau/kurabiye;饼干"
verreweg;veel meer dan andere(n);verreweg;veel meer dan andere(n);远远的;许多比其他
leenwoorden;"woorden die van de ene taal naar de andere gaan; het leenwoord";leenwoorden;"woorden die van de ene taal naar de andere gaan; het leenwoord";借用词;"语言转变的单词;"
overgenomen;"ook gaan doen; overnemen-nam over-overgenomen";overgenomen;ook gaan doen;收购;开始做
besmet (zijn);een slechte naam hebben;besmet (zijn);een slechte naam hebben;感染 (感染);有一个坏名字
huis-tuin-en-keuken-;gewone, simpele. Hier: woorden van dingen die je thuis gebruikt;huis-tuin-en-keuken-;gewone, simpele. Hier: woorden van dingen die je thuis gebruikt;房子,花园和厨房;简单,简单.这里是你家里使用的东西的单词.
baas (de);"boss/Cheff/patron/patron; bazen";baas;"boss/Cheff/patron/patron; bazen";总裁;"总裁/首席/雇主/雇主;老板"
gas (het);"gaz/Gaz/gaz/gaz; gassen";gas;"gaz/Gaz/gaz/gaz; gassen";气体;"气体/气体/气体;气体"
kraan (de);"ding in de keuken waar water uitkomt; kranen";kraan;"ding in de keuken waar water uitkomt; kranen";机;"厨房里有水源的东西;水龙头"
pomp (de);"pump/Pumpen/pompe/pompa; pompen";pomp;"pump/Pumpen/pompe/pompa; pompen";机;"///;"
pen (de);"iets om mee te schrijven; pennen";pen;"iets om mee te schrijven; pennen";笔;"写东西;笔"
bijgaand;wat hier bij staat;bijgaand;wat hier bij staat;附加;关于此事
opvalt;"opvallend zijn, de aandacht trekken; opvallen-viel op-opgevallen";opvalt;opvallend zijn, de aandacht trekken;显而易见;吸引人们的注意力
rondgetrokken;"rondgereisd; rondtrekken trok rond-rondgetrokken";rondgetrokken;"rondgereisd; rondtrekken trok rond-rondgetrokken";周围的;"走过圈子;走过圈子,走过圈子"
religie (de);"godsdienst; religies";religie;"godsdienst; religies";宗教;"宗教;宗教"
verspreiden;"bekendmaken in een groter gebied; verspreiden-verspreidde-verspreid";verspreiden;bekendmaken in een groter gebied;传播;广大地区的公布
simpelweg;eenvoudig, gewoon;simpelweg;eenvoudig, gewoon;简单的说法;简单,简单
levensstandaard (de);het niveau van welvaart;levensstandaard;het niveau van welvaart;生活水平;富裕水平
emigratie (de);het verhuizen naar een ander land;emigratie;het verhuizen naar een ander land;移民;搬到另一个国家
gereedschap;instrument om iets mee te maken;gereedschap;instrument om iets mee te maken;工具;工具可以使用
potten;"pots/Topfen/pots/çanaklar; gereedschappen; de pot";potten;"pots/Topfen/pots/çanaklar; gereedschappen; de pot";子;"////;工具;"
pannen;"pans/Topfen/casseroles/tavalar; de pan";pannen;"pans/Topfen/casseroles/tavalar; de pan";子;"/////;"
naalden;"needles/Nadeln/aiguilles/iğneler; de naald";naalden;"needles/Nadeln/aiguilles/iğneler; de naald";子;"////;"
handelaar (de);"iemand die handelt, koopt en verkoopt; handelaren";handelaar;"iemand die handelt, koopt en verkoopt; handelaren";交易员;"交易,购买和销售者;交易者"
kurkentrekker (de);"instrument om een wijnfles mee open te maken; kurkentrekkers";kurkentrekker;"instrument om een wijnfles mee open te maken; kurkentrekkers";车;"开酒瓶的仪器;拉机"
nr.;nummer;nr.;nummer;其他;号码
overblijfsel (het);"de rest; overblijfsels";overblijfsel;"de rest; overblijfsels";剩余物;"其他;残留物"
veroverden;"in bezit nemen; veroveren-veroverde-veroverd";veroverden;in bezit nemen;征服者;占据
concluderen;"vaststellen; de conclusie trekken; concluderen-concludeerde-geconcludeerd";concluderen;"vaststellen; de conclusie trekken";结论;"确定; 结论"
samenhangen (met);"een verband hebben met; samenhangen-hing samen-samengehangen";samenhangen (met);een verband hebben met;连接 (与);具有与
aanspreekvorm (de);"woord dat je gebruikt als je tegen iemand praat; aanspreekvormen";aanspreekvorm;"woord dat je gebruikt als je tegen iemand praat; aanspreekvormen";联系方式;你使用的词语,
zomin;net zomin … als: evenmin als, en ook niet;zomin;net zomin … als: evenmin als, en ook niet;没有;没有,没有,没有.
scheikundige (de);"iemand die scheikunde (chemistry/Chemie/chimie/kimya) gestudeerd heeft;";scheikundige;"iemand die scheikunde (chemistry/Chemie/chimie/kimya) gestudeerd heeft;";化学;"已有化学 (化学/化学/化学/化学) 学历的人;"
chaos (de);situatie zonder orde;chaos;situatie zonder orde;混乱;无序的情况
sloeg aan;"succes hebben, mode worden; aanslaan-sloeg aan-aangeslagen";sloeg aan;succes hebben, mode worden;打了;成为一个成功者,成为一个时尚者
onderstreept;"benadrukken, duidelijk laten zien; onderstrepen-onderstreepte-onderstreept";onderstreept;benadrukken, duidelijk laten zien;强调;强调,明确
applaus (het);in de handen klappen als je iets mooi of goed vindt;applaus;in de handen klappen als je iets mooi of goed vindt;鼓掌;拍手当你发现什么是好事或什么是好事
levendige;op een manier dat je de situatie voor je ziet;levendige;op een manier dat je de situatie voor je ziet;活的;让你看到情况的前景.
dankwoord (het) uitspreken;"iets zeggen om iemand te bedanken; dankwoorden";dankwoord uitspreken;"iets zeggen om iemand te bedanken; dankwoorden";感谢;"感谢某人说什么;"
illustraties;"plaatjes, tekeningetjes; de illustratie";illustraties;"plaatjes, tekeningetjes; de illustratie";插图;"图片,图片;说明"
pakkend;boeiend, interessant;pakkend;boeiend, interessant;的;吸引人,有趣
kernachtig;"kort, maar precies het belangrijkste deel beschrijvend; bondig";kernachtig;"kort, maar precies het belangrijkste deel beschrijvend; bondig";半夜;"简短但精确的描述最重要部分;"
i.p.v.;in plaats van;i.p.v.;in plaats van;其他地方;没有
plafond (het);"bovenkant van een kamer; plafonds";plafond;"bovenkant van een kamer; plafonds";顶;"室内顶部;天花板"
verlegen;bang om te spreken als er andere mensen bij zijn;verlegen;bang om te spreken als er andere mensen bij zijn;尬;在其他人的面前,害怕说话
pauzeren;"een korte pauze nemen tijdens het werk of de les; pauzeren-pauzeerde-";pauzeren;"een korte pauze nemen tijdens het werk of de les; pauzeren-pauzeerde-";休息;"在工作或课堂上做短暂的休息;休息-休息"
voetnoten;"korte uitleg onder aan de bladzijde; voetnoot (de)";voetnoten;"korte uitleg onder aan de bladzijde; voetnoot";脚注;"简单说明在页面底部;"
onderhoud (het);zorgen dat iets in goede conditie blijft;onderhoud;zorgen dat iets in goede conditie blijft;维护;确保物品保持良好的状态
monumentale;"met historische betekenis; die bewaard moet blijven; monumentaal";monumentale;"met historische betekenis; die bewaard moet blijven; monumentaal";石;"具有历史意义;必须保持;具有纪念碑意义"
aantrekkingskracht (de);kracht waarmee je mensen naar je toe kunt laten komen;aantrekkingskracht;kracht waarmee je mensen naar je toe kunt laten komen;吸引力;让人走向你
uitvoering (de);het realiseren van een plan;uitvoering;het realiseren van een plan;执行;实现计划
monumenten;een gebouw dat bewaard moet worden omdat het historische betekenis heeft;monumenten;een gebouw dat bewaard moet worden omdat het historische betekenis heeft;纪念碑;建筑物必须被保存,因为它具有历史意义
vitale;"krachtige, levende; vitaal";vitale;"krachtige, levende; vitaal";生命力;活力,活力,生命力
rapporteer;"vertel wat er gebeurd of besproken is; rapporteren-rapporteerde-gerapporteerd";rapporteer;vertel wat er gebeurd of besproken is;报告;告诉你发生了什么事,或者讨论了什么事
notities;"wat je genoteerd of opgeschreven hebt; de notitie";notities;"wat je genoteerd of opgeschreven hebt; de notitie";报价;"你所记载的或写的;"
correctheid (de);hier: met correcte, goede, grammaticaal juiste zinnen;correctheid;hier: met correcte, goede, grammaticaal juiste zinnen;准确性;在这里:正确的,正确的,正确的语法.
minimaal;ten minste, niet minder dan;minimaal;ten minste, niet minder dan;低于;至少,不少于
welvaart (de);de toestand dat het economisch en sociaal goed gaat in een land;welvaart;de toestand dat het economisch en sociaal goed gaat in een land;繁荣;经济和社会状况
welzijn (het);de toestand dat het goed met je gaat en dat je alles hebt wat je nodig hebt;welzijn;de toestand dat het goed met je gaat en dat je alles hebt wat je nodig hebt;福利;幸福感,你拥有一切需要的东西
rijkdom (de);"veel geld en goederen hebben; rijkdommen";rijkdom;"veel geld en goederen hebben; rijkdommen";财富;"有很多钱和财产;有很多财富"
maritieme;zee-;maritieme;zee-;海洋;海洋
grootmacht (de);"een belangrijk en rijk land met veel macht en invloed; grootmachten";grootmacht;"een belangrijk en rijk land met veel macht en invloed; grootmachten";强大国;"一个重要的,富有的国家,拥有大量的权力和影响力;"
tolerantie (de);toelaten dat mensen anders denken en doen dan jijzelf;tolerantie;toelaten dat mensen anders denken en doen dan jijzelf;宽容;让别人不像你自己一样思考和做事
hierheen;hierheen = naar hier, in dit geval naar Nederland;hierheen;hierheen = naar hier, in dit geval naar Nederland;走到这里;在这里 = 在这里,在这个例子中,在荷兰
trok;"naar zich toe halen omdat het leuk, interessant of mooi is; trekken-trok-";trok;"naar zich toe halen omdat het leuk, interessant of mooi is; trekken-trok-";拉了;"吸引自己,因为它很有趣,有趣,很漂亮;"
ondernemingszin (de);bereidheid om initiatieven te nemen of een nieuw bedrijf te starten;ondernemingszin;bereidheid om initiatieven te nemen of een nieuw bedrijf te starten;企业精神;愿意采取行动或创办新企业
kenmerkte;"karakteriseren; kenmerken-kenmerkte-gekenmerkt";kenmerkte;karakteriseren;标志性;标志性
achteruitgang (de);de ontwikkeling dat de situatie steeds slechter wordt;achteruitgang;de ontwikkeling dat de situatie steeds slechter wordt;衰退;情况正在恶化
geschoolde;op een school of opleiding geleerd;geschoolde;op een school of opleiding geleerd;熟练的;在学校或培训中学习
arbeid (de);het werk;arbeid;het werk;劳动力;工作
belastingdruk (de);het gevoel (te) veel belasting te moeten betalen;belastingdruk;het gevoel (te) veel belasting te moeten betalen;税压;付出太多税收的感觉
protectionistische;beschermende;protectionistische;beschermende;保护主义;保护
vrijhandel (de);handel zonder invoer- en uitvoerrechten;vrijhandel;handel zonder invoer- en uitvoerrechten;贸易自由;贸易不含进口和出口关税
textiel (het);materiaal waarvan onder andere kleding wordt gemaakt;textiel;materiaal waarvan onder andere kleding wordt gemaakt;织品;其他材料,包括服装
paste zich aan aan;"adjust/s’adapter/sich anpassen/uymak; zich aanpassen-paste zich aan-zich";paste zich aan aan;adjust/s’adapter/sich anpassen/uymak;适应;适应/适应/自适应/自适应
industriële;van/met/door de industrie. Industriële revolutie: het begin van de industrie,;industriële;van/met/door de industrie. Industriële revolutie: het begin van de industrie,;工业化;工业革命:工业的开始,
massale;enorm grote;massale;enorm grote;的;非常大的
uitbreiding (de);"groter of talrijker worden; uitbreidingen";uitbreiding;"groter of talrijker worden; uitbreidingen";扩张;"增加或增加数量;扩展"
fabrieken;"bedrijven waar producten met machines worden gemaakt; de fabriek";fabrieken;"bedrijven waar producten met machines worden gemaakt; de fabriek";工厂;"机械制造业;工厂"
bètawetenschappen;"wiskunde, natuurkunde (= fysica) en scheikunde; de bètawetenschap";bètawetenschappen;"wiskunde, natuurkunde (= fysica) en scheikunde; de bètawetenschap";贝塔科学;物理,化学,数学,贝塔科学
periode van bloei (de);periode waarin het goed gaat;periode van bloei;periode waarin het goed gaat;开花期;时间顺利
wetenschappers;"mensen die voor hun werk wetenschappelijk onderzoek doen; de wetenschapper";wetenschappers;"mensen die voor hun werk wetenschappelijk onderzoek doen; de wetenschapper";科学家;"为了做他们的工作,他们做科学研究;"
Nobelprijzen;jaarlijkse prijzen voor wetenschappers die een zeer bijzondere prestatie hebben;Nobelprijzen;jaarlijkse prijzen voor wetenschappers die een zeer bijzondere prestatie hebben;诺贝尔奖;奖项,为科学家提供年度奖项,
bruto nationaal product;alles wat een land aan goederen en diensten produceert bij elkaar opgeteld;bruto nationaal product;alles wat een land aan goederen en diensten produceert bij elkaar opgeteld;国内生产总值;一个国家产生的商品和服务总量
consumptiegoederen;"alle producten die mensen kunnen kopen of gebruiken; economische term";consumptiegoederen;"alle producten die mensen kunnen kopen of gebruiken; economische term";消费品;"人类可以购买或使用的产品;经济术语"
kwam tot stilstand;tot stilstand komen = stoppen;kwam tot stilstand;tot stilstand komen = stoppen;停下来;停止 =停止
industrialisatie (de);het massaal produceren in fabrieken;industrialisatie;het massaal produceren in fabrieken;工业化;在工厂生产的量产
geïmporteerd;"ingevoerd in een land; importeren-importeerde-geïmporteerd";geïmporteerd;ingevoerd in een land;进口;进口到一个国家
de jaren zeventig;1970 t/m 1979;de jaren zeventig;1970 t/m 1979;七十年代;1970年至1979年
hield het hoofd boven water;het hoofd boven water houden = overleven, in leven blijven;hield het hoofd boven water;het hoofd boven water houden = overleven, in leven blijven;保持着头脑的水上;保持头脑的水上 = 生存,保持活着
globalisering (de);dat er steeds meer contact en handel is tussen alle landen in de wereld;globalisering;dat er steeds meer contact en handel is tussen alle landen in de wereld;全球化;世界各国之间越来越多的联系和贸易
valt;"wordt gebruikt; vallen-viel-gevallen";valt;wordt gebruikt;落下;使用
tijdrovend;wat veel tijd kost;tijdrovend;wat veel tijd kost;时间耗尽;需要时间
critici;"mensen die kritiek hebben, die het er niet mee eens zijn; de criticus";critici;"mensen die kritiek hebben, die het er niet mee eens zijn; de criticus";批评者;"那些批评的人,那些不同意的人;"
overlegcultuur (de);de gewoonte (in een land of organisatie) om samen naar een oplossing zoeken,;overlegcultuur;de gewoonte (in een land of organisatie) om samen naar een oplossing zoeken,;协商文化;共同寻找解决方案的习惯 (在一个国家或组织中),
loonmatiging (de);beleid waarbij werknemers een lage stijging van het loon accepteren;loonmatiging;beleid waarbij werknemers een lage stijging van het loon accepteren;工资增长;工人接受低薪水政策
flexibilisering (de);het flexibel maken of worden. Flexibilisering van de arbeidsmarkt = meer;flexibilisering;het flexibel maken of worden. Flexibilisering van de arbeidsmarkt = meer;灵活化;劳动力市场的灵活性 = 更多
arbeidsmarkt (de);vraag en aanbod van banen;arbeidsmarkt;vraag en aanbod van banen;劳动力市场;求职和求职
verlaging (de);"verminderen, lager maken; verlagingen";verlaging;"verminderen, lager maken; verlagingen";降低;"减产,减产;减产"
dienstensector (de);"alle bedrijven die diensten te koop aanbieden; sectoren";dienstensector;"alle bedrijven die diensten te koop aanbieden; sectoren";服务业;"所有提供服务的企业;"
welvarende;rijke;welvarende;rijke;富有的人;富裕
monetaire;geld-;monetaire;geld-;货币;资金
veroorzaakte;"de oorzaak zijn van iets; veroorzaken-veroorzaakte-veroorzaakt";veroorzaakte;de oorzaak zijn van iets;造成的;原因是什么?
kentering (de);"radicale verandering; kenteringen";kentering;"radicale verandering; kenteringen";标记;"变化;变化"
investeerders;"mensen die geld geven aan een bedrijf om later een deel van de winst te krijgen;";investeerders;"mensen die geld geven aan een bedrijf om later een deel van de winst te krijgen;";投资者;"那些向公司捐款以后获得部分利的人;"
onzeker;niet zeker, bang;onzeker;niet zeker, bang;没有确定性;不确定,害怕
consumenten;"mensen die geld betalen voor een product of service; de consument";consumenten;"mensen die geld betalen voor een product of service; de consument";消费者;"对于产品或服务而付费的人;消费者"
verwachtingen;"hoop, dat wat je verwacht of hoopt; de verwachting";verwachtingen;"hoop, dat wat je verwacht of hoopt; de verwachting";预期;希望,就是你期望的,或者你希望的,
het mes zetten in;bezuinigen op, minder geld uitgeven aan;het mes zetten in;bezuinigen op, minder geld uitgeven aan;入刀;减少,减少支出
mes (het);"knife/couteau/Messer/bicak; messen";mes;"knife/couteau/Messer/bicak; messen";刀具;"刀//刀/刀/刀;刀"
ministeries;afdeling van de overheid (onder leiding van een minister) met een specifieke;ministeries;afdeling van de overheid (onder leiding van een minister) met een specifieke;部长;公共部门 (由部长领导) 有具体的
boodschap (de);bericht, advies;boodschap;bericht, advies;信息;报告,建议
kiezerspubliek (het);alle kiezers (mensen die op een politieke partij stemmen) bij elkaar;kiezerspubliek;alle kiezers (mensen die op een politieke partij stemmen) bij elkaar;选民公众;所有选民 (投票给政党的人) 聚集在一起
de bomen groeien niet tot in;het kan niet altijd maar beter blijven gaan;de bomen groeien niet tot in;het kan niet altijd maar beter blijven gaan;树木不会长到;总是不可以继续改善.
